
Model: R2U_Net loaded successfully!! | pretrained : False
  0%|          | 0/1000 [00:00<?, ?it/s]

  0%|          | 1/1000 [00:29<8:19:17, 29.99s/it]

  0%|          | 2/1000 [00:59<8:15:41, 29.80s/it]

  0%|          | 3/1000 [01:29<8:19:00, 30.03s/it]

  0%|          | 4/1000 [02:00<8:21:47, 30.23s/it]

  0%|          | 5/1000 [02:30<8:20:14, 30.16s/it]

  1%|          | 6/1000 [02:57<8:03:42, 29.20s/it]

  1%|          | 7/1000 [03:25<7:52:35, 28.56s/it]

  1%|          | 8/1000 [03:52<7:46:27, 28.21s/it]

  1%|          | 9/1000 [04:19<7:40:43, 27.89s/it]

  1%|          | 10/1000 [04:47<7:37:36, 27.73s/it]

  1%|          | 11/1000 [05:14<7:36:00, 27.66s/it]

  1%|          | 12/1000 [05:42<7:34:41, 27.61s/it]

  1%|▏         | 13/1000 [06:09<7:32:16, 27.49s/it]

  1%|▏         | 14/1000 [06:36<7:31:55, 27.50s/it]

  2%|▏         | 15/1000 [07:04<7:30:29, 27.44s/it]

  2%|▏         | 16/1000 [07:31<7:29:21, 27.40s/it]

  2%|▏         | 17/1000 [07:58<7:28:37, 27.38s/it]

  2%|▏         | 18/1000 [08:26<7:28:23, 27.40s/it]

  2%|▏         | 19/1000 [08:53<7:27:37, 27.38s/it]

  2%|▏         | 20/1000 [09:20<7:26:18, 27.32s/it]

  2%|▏         | 21/1000 [09:48<7:25:44, 27.32s/it]

  2%|▏         | 22/1000 [10:16<7:28:36, 27.52s/it]

  2%|▏         | 23/1000 [10:43<7:27:35, 27.49s/it]

  2%|▏         | 24/1000 [11:10<7:25:36, 27.39s/it]

  2%|▎         | 25/1000 [11:38<7:24:55, 27.38s/it]

  3%|▎         | 26/1000 [12:05<7:23:46, 27.34s/it]

  3%|▎         | 27/1000 [12:32<7:24:26, 27.41s/it]

  3%|▎         | 28/1000 [13:00<7:24:00, 27.41s/it]

  3%|▎         | 29/1000 [13:27<7:22:47, 27.36s/it]

  3%|▎         | 30/1000 [13:55<7:23:18, 27.42s/it]

  3%|▎         | 31/1000 [14:22<7:22:38, 27.41s/it]

  3%|▎         | 32/1000 [14:49<7:21:47, 27.38s/it]

  3%|▎         | 33/1000 [15:17<7:20:43, 27.35s/it]

  3%|▎         | 34/1000 [15:44<7:19:35, 27.30s/it]

  4%|▎         | 35/1000 [16:11<7:19:27, 27.32s/it]

  4%|▎         | 36/1000 [16:39<7:20:09, 27.40s/it]

